id,per_square_meter_price
0,76449.43077589177
1,23378.458782141763
2,32600.72621857227
3,51690.399335734524
4,23038.496923812298
5,48333.91039523069
6,45239.53096632362
7,231095.41068556174
8,51363.32562329746
9,26653.44869397454
10,19174.338450222313
11,85682.03341430744
12,167062.46224283086
13,55591.25868594716
14,216829.20185386785
15,66696.66003752327
16,11438.344723921577
17,47260.386760130146
18,142686.92923014483
19,50357.5731454509
20,19734.7578659234
21,175936.9303256517
22,383438.14412286883
23,7370.7403707588255
24,136285.84569926254
25,52401.95709484837
26,170108.10966676357
27,9643.817019603968
28,149133.57446422373
29,8940.87440790398
30,24291.95223244117
31,127903.73672446153
32,126413.6130561637
33,36815.41325795371
34,14951.229677696572
35,67581.7834416017
36,22378.795065466158
37,31382.44396840503
38,55822.46358826922
39,166451.78010851576
40,135258.2788438265
41,238198.43719795172
42,70894.29986771489
43,110448.50657718083
44,28720.914350587387
45,45817.52207524188
46,184695.6923960569
47,36475.44346060326
48,37743.71379220353
49,11698.167680299
50,93439.39837101847
51,36896.39543707312
52,10225.76725873578
53,34090.279982082844
54,10442.738227508147
55,211754.65457781567
56,126382.75412477633
57,50802.119715291155
58,45627.75553619807
59,55877.00433975894
60,13942.884833805067
61,39295.19091815758
62,12051.840384366658
63,24626.349476748524
64,283836.13005152665
65,59713.562618876575
66,64549.994592337585
67,21012.66981652762
68,229857.50300467428
69,113454.84056572938
70,107495.58738489414
71,128623.96642042705
72,158326.10004439662
73,45041.160625330376
74,61308.982254370756
75,15573.410945818578
76,20192.891943935134
77,29894.204820316754
78,63844.70851735331
79,21994.224084351885
80,35682.722070589756
81,38197.94927965589
82,66729.23471821292
83,320452.78710760997
84,29151.843671079212
85,24297.883608857177
86,84787.24439750049
87,23775.621206341704
88,18282.88587414951
89,44745.23485629489
90,25204.192406509104
91,138398.24272342242
92,56095.70075130312
93,18534.563738316258
94,48843.99481262519
95,276382.4891634272
96,19811.997524329705
97,130585.72103221678
98,235998.8075521841
99,38328.73205500487
100,212324.0959171466
101,51350.787279499535
102,108975.34610715542
103,7019.486263469612
104,53500.76179143679
105,171777.45953083152
106,40404.217542829705
107,13062.99969972652
108,21017.800489146874
109,19353.053095989177
110,46165.60107998131
111,30416.907673269845
112,70119.69465189363
113,47934.361755184
114,48463.887829376996
115,46380.2456031796
116,134961.4067500905
117,130649.49916087958
118,58816.501623784505
119,47794.13456594938
120,216564.67925420305
121,22269.789947535384
122,60167.21084131189
123,72327.87236526316
124,45140.236827788016
125,78722.29148586976
126,50369.86897572689
127,117113.4541475964
128,42219.38545955445
129,31845.531209109184
130,43740.73755093986
131,37550.69875314992
132,289363.64205227664
133,62793.53629215726
134,63378.804181531115
135,79184.90891348141
136,203990.78048926184
137,31474.519532676004
138,21017.800489146874
139,16424.72283698733
140,53723.27228493046
141,35674.01153186319
142,29872.31766706397
143,30040.52956471543
144,55077.904433544885
145,143140.51243602103
